"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","tp_flags","Mutational_Freq"
"OR5M12P",1,0,0,"FALSE",0
"PRB3",1,0,0,"FALSE",0.04
"FAM49A",1,0,0,"FALSE",0
"MYO1C",1,0,0,"FALSE",0.166666666666667
"MDS2",1,0,0,"FALSE",0.04
"OR7E13P",1,0,0,"FALSE",0
"NKIRAS1",1,0,0,"FALSE",0
"OR1S2",1,0,0,"FALSE",0
"UGT2B17",1,0,0,"FALSE",0.0384615384615385
"MEIG1",1,0,0,"FALSE",0.04
"SLC22A12",1,0,0,"FALSE",0
"KIF13B",1,0,0,"FALSE",0.04
"NRAP",1,0,0,"FALSE",0
"ADH5",1,0,0,"FALSE",0
"SLC22A6",1,0,0,"FALSE",0
"HIST1H2BK",1,0,0,"FALSE",0
"TEAD4",1,0,0,"FALSE",0
"SPG7",1,0,0,"FALSE",0
"HRNR",1,0,0,"FALSE",0
"IFNA1",1,0,0,"FALSE",0
"HES5",1,0,0,"FALSE",0.0384615384615385
"C2orf27A",1,0,0,"FALSE",0
"ZNF677",1,0,0,"FALSE",0
"ERO1A",1,0,0,"FALSE",0
"ZNF823",1,0,0,"FALSE",0
"CYYR1.AS1",1,0,0,"FALSE",0
"ZNF311",1,0,0.0416666666666667,"FALSE",0.111111111111111
"ZNF347",1,0,0,"FALSE",0.0769230769230769
"OR5H2",1,0,0,"FALSE",0
"PLCG2",1,0,0,"FALSE",0
"FCHSD1",1,0,0,"FALSE",0
"ZNF71",1,0,0,"FALSE",0
"AADACL2",1,0,0,"FALSE",0.0384615384615385
"S100A6",1,0,0,"FALSE",0.0384615384615385
"RPL12",1,0,0.0833333333333333,"FALSE",0.04
"DNM3",1,0,0,"FALSE",0.107142857142857
"ZNF121",1,0,0,"FALSE",0.04
"MPZL1",1,0,0,"FALSE",0.04
"VPS13A",1,0,0.0434782608695652,"FALSE",0.148148148148148
"MBP",1,0,0,"FALSE",0
"AKAP17A",1,0,0,"FALSE",0
"ELOVL2",1,0,0,"FALSE",0
"GOLGA6L9",1,0,0,"FALSE",0
"LEKR1",1,0,0,"FALSE",0
"C1orf122",1,0,0,"FALSE",0
"OR51A8P",1,0,0,"FALSE",0
"SNHG12",1,0,0,"FALSE",0
"ZNF734P",1,0,0,"FALSE",0
"AL592490.1",1,0,0,"FALSE",0
"CLEC9A",1,0,0,"FALSE",0
"KEL",1,0,0,"FALSE",0
"NOL8",1,0,0,"FALSE",0
"IRAK4",1,0,0,"FALSE",0
"CCDC151",1,0,0,"FALSE",0
"DLGAP2",1,0,0,"FALSE",0.04
"MRPL42",1,0,0,"FALSE",0
"ENTPD7",1,0,0,"FALSE",0.08
"FCGR1B",1,0,0,"FALSE",0
"SPANXA1",1,0,0,"FALSE",0
"SAGE2P",1,0,0,"FALSE",0
"ZNF335",1,0,0,"FALSE",0.08
"ZNF560",1,0,0,"FALSE",0.04
"TUBA3C",1,0,0,"FALSE",0
"RPS4X",1,0,0,"FALSE",0.04
"ZNF273",1,0,0,"FALSE",0
"ZNF84",1,0,0,"FALSE",0
"MAK16",1,0,0,"FALSE",0.0769230769230769
"ZNF667",1,0,0,"FALSE",0
"AVPR1B",1,0,0,"FALSE",0
"SIRPA",1,0,0,"FALSE",0
"DSCR8",1,0,0,"FALSE",0.04
"GRK6",1,0,0,"FALSE",0.0384615384615385
"PRIM1",1,0,0,"FALSE",0.0740740740740741
"MARCH5",1,0,0,"FALSE",0
"POTEH",1,0,0,"FALSE",0.04
"NPIPB13",1,0,0,"FALSE",0
"AKR1B10",1,0,0,"FALSE",0
"SULT1C4",1,0,0,"FALSE",0.0769230769230769
"CYP2A7",1,0,0.0869565217391304,"FALSE",0.08
"ZBTB14",1,0,0,"FALSE",0.0384615384615385
"KRTAP9.9",1,0,0,"FALSE",0
"CD2AP",1,0,0,"FALSE",0
"NUP62CL",1,0,0,"FALSE",0
"SFI1",1,0,0,"FALSE",0
"KRTAP4.6",1,0,0,"FALSE",0
"TMPRSS11F",1,0,0,"FALSE",0
"ZNF649",1,0,0,"FALSE",0
"ADH4",1,0,0,"FALSE",0.04
"OR2T6",1,0,0,"FALSE",0
"ZNF248",1,0,0,"FALSE",0.0769230769230769
"SNX29P2",1,0,0,"FALSE",0
"CHSY3",1,0,0,"FALSE",0
"TOR4A",1,0,0,"FALSE",0
"LPAR1",1,0,0,"FALSE",0.0384615384615385
"MB",1,0,0,"FALSE",0
"OR2L3",1,0,0,"FALSE",0
"DEFB107B",1,0,0,"FALSE",0
"HIBCH",1,0,0,"FALSE",0.0384615384615385
"ZNF544",1,0,0,"FALSE",0.04
"TMEM229B",1,0,0,"FALSE",0
"AC007537.1",1,0,0,"FALSE",0
"SOWAHC",1,0,0,"FALSE",0
"ZNF770",1,0,0,"FALSE",0
"ZNF849P",1,0,0,"FALSE",0
"ZNF876P",1,0,0,"FALSE",0
"NPIPB6",1,0,0,"FALSE",0
"HMGN5",1,0,0,"FALSE",0.0740740740740741
"MIER1",1,0,0,"FALSE",0.0769230769230769
"MAN1A2",1,0,0,"FALSE",0
"SVIP",1,0,0,"FALSE",0
"ZNF251",1,0,0,"FALSE",0.0769230769230769
"DDRGK1",1,0,0.0869565217391304,"FALSE",0.08
"FAM47C",1,0,0,"FALSE",0.115384615384615
"TFDP1",1,0,0,"FALSE",0
"CLEC4C",1,0,0,"FALSE",0
"ZNF607",1,0,0,"FALSE",0
"BPIFA1",1,0,0,"FALSE",0
"ZNF334",1,NA,0,"FALSE",0.111111111111111
"HSD17B11",1,0,0,"FALSE",0
"SZT2",1,0,0,"FALSE",0
"SULT1C2",1,0,0,"FALSE",0.111111111111111
"ZXDA",1,0,0,"FALSE",0.111111111111111
"RPS6KL1",1,0,0,"FALSE",0.04
"AC092143.1",1,0,0,"FALSE",0
"CACNA1E",1,0,0,"FALSE",0
"OR51H2P",1,0,0,"FALSE",0
"QRICH1",1,0,0,"FALSE",0.0384615384615385
"AFDN.DT",1,0,0,"FALSE",0
"CSF2RA",1,0,0,"FALSE",0
"FKBP1C",1,0,0,"FALSE",0
"DDX42",1,0,0,"FALSE",0.0740740740740741
"AC131392.1",1,0,0,"FALSE",0
"RPL23A",1,0,0,"FALSE",0
"SLC29A3",1,0,0,"FALSE",0.0384615384615385
"CYP2A7P2",1,0,0,"FALSE",0
"STYX",1,0,0,"FALSE",0
"UBL5",1,0,0,"FALSE",0
"OR5BB1P",1,0,0,"FALSE",0
"HELZ",1,0,0,"TRUE",0.206896551724138
"TMEM116",1,0,0,"FALSE",0
"KRTAP4.5",1,0,0,"FALSE",0
"UCKL1",1,0,0,"FALSE",0.0384615384615385
"AC021146.1",1,0,0,"FALSE",0
"OR5B21",1,0,0,"FALSE",0
"NUP210P1",1,0,0,"FALSE",0
"CARD11",1,0,0,"TRUE",0.214285714285714
"ZNF485",1,0,0,"FALSE",0
"PEG3",1,0,0,"FALSE",0
"SDAD1",1,0,0.0416666666666667,"FALSE",0.0769230769230769
"BMS1P9",1,0,0,"FALSE",0
"ZKSCAN8",1,0,0,"FALSE",0.08
"PHETA1",1,0,0,"FALSE",0
"TMEM239",1,0,0,"FALSE",0
"HYLS1",1,0,0,"FALSE",0
"MYL4",1,0,0,"FALSE",0
"ZNF442",1,0,0,"FALSE",0
"ZNF813",1,0,0,"FALSE",0
"HOXC4",1,0,0,"FALSE",0
"DCAF12L2",1,0,0,"FALSE",0
"PIM3",1,0,0,"FALSE",0
"ASNA1",1,0,0,"FALSE",0.04
"AL354714.1",1,0,0,"FALSE",0
"ASPH",1,0,0,"FALSE",0
"OR7A11P",1,0,0,"FALSE",0
"SPRED2",1,0,0,"FALSE",0
"WWP2",1,0,0,"FALSE",0
"GFPT1",1,0,0,"FALSE",0.0740740740740741
"UVRAG",1,0,0,"FALSE",0
"KRTAP13.1",1,0,0,"FALSE",0
"ZNF26",1,0,0,"FALSE",0
"TMEM207",1,0,0,"FALSE",0.0384615384615385
"ITSN2",1,0,0.0434782608695652,"FALSE",0.115384615384615
"NTRK1",1,0,0,"FALSE",0
"BZW1P2",1,0,0,"FALSE",0
"OGA",1,0,0,"FALSE",0
"TATDN2P1",1,0,0,"FALSE",0
"ZNF658B",1,0,0,"FALSE",0
"MT1F",1,0,0,"FALSE",0
"TCAF1",1,0,0,"FALSE",0
"ZNF69",1,0,0,"FALSE",0
"TXNRD1",1,0,0,"FALSE",0
"NRARP",1,0,0,"FALSE",0
"ZNF583",1,0,0,"FALSE",0
"KRTAP4.1",1,0,0,"FALSE",0
"CCT8L2",1,0,0,"FALSE",0.04
"OR14L1P",1,0,0,"FALSE",0
"ZNF568",1,0,0,"FALSE",0.08
"PRR31",1,0,0,"FALSE",0
"ZXDB",1,0,0,"FALSE",0.0384615384615385
"ZNF480",1,0,0,"FALSE",0.04
"ZNF587",1,0,0,"FALSE",0
"TPM2",1,0,0,"FALSE",0.0740740740740741
"FLVCR1.DT",1,0,0,"FALSE",0
"RTP2",1,0,0,"FALSE",0.0384615384615385
"SH3BGRL2",1,0,0,"FALSE",0
"ZNF808",1,0,0,"FALSE",0
"ANKRD35",1,0,0,"FALSE",0.0384615384615385
"B3GNT6",1,0,0,"FALSE",0
"AC007920.1",1,0,0,"FALSE",0
"YTHDF2",1,0,0,"FALSE",0
"NBR2",1,0,0,"FALSE",0
"TMA16",1,0,0,"FALSE",0
"HLA.DRB5",1,0,0,"FALSE",0
"ATL1",1,0,0,"FALSE",0
"CNGA1",1,0,0,"FALSE",0
"MAFK",1,0,0,"FALSE",0
"ARMH1",1,0,0,"FALSE",0
"ZNF43",1,0,0.0416666666666667,"FALSE",0.142857142857143
"GPN1",1,0,0,"FALSE",0
"PLN",1,0,0,"FALSE",0
"PABPC1P2",1,0,0,"FALSE",0
"C2CD4A",1,0,0,"FALSE",0
"ZNF28",1,0,0,"FALSE",0
"ITGBL1",1,0,0,"FALSE",0.08
"ZNF511",1,0,0,"FALSE",0
"C20orf203",1,0,0,"FALSE",0
"ZNF627",1,0,0,"FALSE",0
"KCNRG",1,0,0,"FALSE",0
"WDHD1",1,0,0,"FALSE",0.0769230769230769
"AC133561.1",1,0,0,"FALSE",0
"ZNF789",1,0,0,"FALSE",0
"CTNND1",1,0,0,"FALSE",0.192307692307692
"DDX39B",1,0,0,"FALSE",0
"SLC34A3",1,0,0,"FALSE",0
"RD3",1,0,0,"FALSE",0
"SPANXC",1,0,0,"FALSE",0
"SH2D1B",1,0,0,"FALSE",0
"ARC",1,0,0,"FALSE",0.0384615384615385
"AC073343.1",1,0,0,"FALSE",0
"NUDT16",1,0,0,"FALSE",0
"TLK1",1,0,0,"FALSE",0
"LRBA",1,0,0,"FALSE",0.178571428571429
"C3orf35",1,0,0,"FALSE",0
"ZNF536",1,0,0,"FALSE",0
"MMP17",1,0,0,"FALSE",0.0769230769230769
"OR2M2",1,0,0,"FALSE",0
"BAZ1A",1,0,0,"FALSE",0
"AKR1C4",1,0,0,"FALSE",0
"COPS8",1,0,0,"FALSE",0
"PPIAP22",1,0,0,"FALSE",0
"CCDC69",1,0,0,"FALSE",0
"MDM4",1,0,0,"FALSE",0.0384615384615385
"RYR2",1,0,0.176470588235294,"TRUE",0.484848484848485
"ZNF534",1,0,0,"FALSE",0.04
"KLHL9",1,0,0,"FALSE",0
"FAM3D",1,0,0,"FALSE",0
"NCOA6",1,0,0,"FALSE",0
"STK39",1,0,0,"FALSE",0
"TAT",1,0,0,"FALSE",0
"ABHD17AP1",1,0,0,"FALSE",0
"C6orf89",1,0,0,"FALSE",0.04
"CALM1",1,0,0,"FALSE",0
"LPA",1,0,0.0434782608695652,"TRUE",0.206896551724138
"AC135895.1",1,0,0,"FALSE",0
"FAM19A2",1,0,0,"FALSE",0
"OR10G6",1,0,0,"FALSE",0
"TTC37",1,0,0,"FALSE",0.04
"OR5BS1P",1,0,0,"FALSE",0
"TUSC1",1,0,0,"FALSE",0
"MAGEA1",1,NA,0,"FALSE",0.153846153846154
"PAPSS2",1,0,0,"FALSE",0
"LINC01565",1,0,0,"FALSE",0
"SLC9A6",1,0,0,"FALSE",0.107142857142857
"FAN1",1,0,0,"FALSE",0
"ABCA4",1,0,0,"TRUE",0.310344827586207
"EIF1AY",1,0,0,"FALSE",0
"MT.ND6",1,0,0,"FALSE",0
"IPO9",1,0,0,"FALSE",0
"OR10R3P",1,0,0,"FALSE",0
"GPX6",1,0,0.0869565217391304,"FALSE",0.08
"CEP290",1,0,0.0833333333333333,"TRUE",0.28125
"SSBP3.AS1",1,0,0,"FALSE",0
"MT.CO2",1,0,0,"FALSE",0
"GLMP",1,0,0,"FALSE",0
"TOGARAM1",1,0,0,"FALSE",0
"DLL1",1,0,0,"FALSE",0.0384615384615385
"ANKRD13B",1,0,0,"FALSE",0
"ECI2",1,0,0,"FALSE",0.04
"UNC13B",1,0,0,"FALSE",0.04
"TEX45",1,0,0,"FALSE",0
"MT.CYB",1,0,0,"FALSE",0
"LDB1",1,0,0,"FALSE",0
"PPP1R14C",1,0,0,"FALSE",0
"CTR9",1,0,0.0434782608695652,"FALSE",0.08
"SMOC1",1,0,0,"FALSE",0
"F5",1,0,0,"FALSE",0.0384615384615385
"MSRB1",1,0,0,"FALSE",0
"SMIM11P1",1,0,0,"FALSE",0
"LRRTM3",1,0,0,"FALSE",0
"ZNF652",1,0,0,"FALSE",0
"SMURF1",1,0,0,"FALSE",0
"SLC5A3",1,0,0,"FALSE",0.0740740740740741
"MTCO3P12",1,0,0,"FALSE",0
"GPATCH3",1,0,0,"FALSE",0
"CDC42BPB",1,0,0,"FALSE",0.08
"PLXNB3",1,0,0,"FALSE",0.08
"OXCT2",1,0,0,"FALSE",0
"RPL10A",1,0,0,"FALSE",0
"COLGALT2",1,0,0,"FALSE",0
"EPS8L3",1,0,0,"FALSE",0
"EGFL6",1,0,0,"FALSE",0
"MT.ND2",1,0,0,"FALSE",0
"SYCP1",1,0,0,"FALSE",0
"APCDD1L",1,0,0,"FALSE",0.04
"RCSD1",1,0,0,"FALSE",0.0384615384615385
"RASSF9",1,0,0,"FALSE",0
"FAM169A",1,0,0,"FALSE",0
"ZNF830",1,0,0,"FALSE",0.0384615384615385
"GRIN3A",1,NA,0,"FALSE",0.148148148148148
"MT.ND5",1,0,0,"FALSE",0
"OR4D12P",1,0,0,"FALSE",0
"MUC2",1,0,0,"FALSE",0.142857142857143
"CNOT7",1,0,0,"FALSE",0
"TMEM184B",1,0,0,"FALSE",0.0384615384615385
"MTOR",1,0,0,"FALSE",0.111111111111111
"SCAMP5",1,0,0,"FALSE",0
"ZNF521",1,0,0,"FALSE",0.115384615384615
"ALPK2",1,0,0,"FALSE",0
"BRINP2",1,0,0.0416666666666667,"FALSE",0.04
"MAGEB3",1,0,0,"FALSE",0.08
"LRIG2",1,0,0,"FALSE",0.12
"MT.CO1",1,0,0,"FALSE",0
"PNP",1,0,0,"FALSE",0
"PAX9",1,0,0,"FALSE",0
"LRRC10",1,0,0,"FALSE",0.148148148148148
"GK",1,0,0,"FALSE",0
"FOXJ3",1,0,0,"FALSE",0.0384615384615385
"ZNF358",1,NA,0,"FALSE",0.115384615384615
"SFT2D1",1,0,0,"FALSE",0
"CD247",1,0,0,"FALSE",0
"GRM3",1,0,0,"FALSE",0.08
"CHAMP1",1,0,0,"FALSE",0
"INPP5F",1,0,0,"FALSE",0.04
"SUCNR1",1,0,0,"FALSE",0
"HMGN2",1,0,0,"FALSE",0
"SELENOM",1,0,0,"FALSE",0
"UBE2J1",1,0,0,"FALSE",0.04
"GJC2",1,0,0,"FALSE",0.04
"OPA1",1,0,0,"FALSE",0
"DENND4B",1,0,0,"FALSE",0.111111111111111
"RYR3",1,0,0,"TRUE",0.387096774193548
"ZNF277",1,0,0,"FALSE",0.0740740740740741
"MT.ND3",1,0,0,"FALSE",0
"KTI12",1,0,0,"FALSE",0
"DUSP27",1,0,0,"FALSE",0
"SELENOT",1,0,0,"FALSE",0
"ARHGEF15",1,0,0,"FALSE",0
"TOX",1,0,0,"FALSE",0.0740740740740741
"CES1",1,0,0,"FALSE",0.0740740740740741
"CD3E",1,0,0,"FALSE",0.0769230769230769
"RUSC2",1,0,0,"FALSE",0.142857142857143
"C1orf68",1,0,0,"FALSE",0
"FICD",1,0,0,"FALSE",0
"OSTC",1,0,0,"FALSE",0
"HSD3BP5",1,0,0,"FALSE",0
"R3HDM4",1,0,0,"FALSE",0
"TSEN15",1,0,0,"FALSE",0
"LTN1",1,0,0.0434782608695652,"TRUE",0.28125
"RUNDC1",1,0,0,"FALSE",0.0384615384615385
"CCDC152",1,0,0,"FALSE",0
"MTND4LP30",1,0,0,"FALSE",0
"STKLD1",1,0,0,"FALSE",0
"GRK5",1,0,0,"FALSE",0
"TYW1",1,0,0,"FALSE",0
"DCAF12",1,0,0,"FALSE",0.04
"SFMBT2",1,0,0,"FALSE",0
"ASB12",1,0,0,"FALSE",0.04
"PNMA5",1,0,0,"FALSE",0.0384615384615385
"ITPRIPL1",1,0,0,"FALSE",0.0384615384615385
"MT.ND4",1,0,0,"FALSE",0
"SMC5",1,0,0,"FALSE",0
"MT.ND1",1,0,0,"FALSE",0
"DCAF12L1",1,NA,0,"FALSE",0.111111111111111
"PRMT6",1,0,0,"FALSE",0.0384615384615385
"SHISA4",1,0,0,"FALSE",0
"CIPC",1,0,0,"FALSE",0
"CAPZA2",1,0,0,"FALSE",0
"MT.ATP6",1,0,0,"FALSE",0
"TOP1",1,0,0,"FALSE",0.0740740740740741
"PRC1",1,0,0,"FALSE",0
"BHLHB9",1,0,0,"FALSE",0.04
"MAP3K3",1,0,0.0434782608695652,"FALSE",0.115384615384615
"L1CAM",1,0,0,"FALSE",0.04
"SREBF2",1,0,0,"FALSE",0
"C1orf174",1,0,0,"FALSE",0
"POU3F3",1,0,0,"FALSE",0.04
"RASGEF1A",1,0,0,"FALSE",0
"SPOUT1",1,0,0,"FALSE",0
"RPL39",1,0,0,"FALSE",0
"DZIP3",1,0,0.125,"FALSE",0.115384615384615
"KIAA0753",1,0,0,"FALSE",0.111111111111111
"AC011611.1",1,0,0,"FALSE",0
"DCLRE1A",1,0,0,"FALSE",0.0769230769230769
"ATG9A",1,0,0,"FALSE",0
"NOS1AP",1,0,0,"FALSE",0
"CSAG1",1,0,0,"FALSE",0
"APRT",1,0,0,"FALSE",0
"GPRASP1",1,0,0,"FALSE",0
"TBKBP1",1,0,0,"FALSE",0
"MAGEE1",1,0,0,"FALSE",0.0740740740740741
"CCDC167",1,0,0,"FALSE",0
"MT.CO3",1,0,0,"FALSE",0
"ZFP2",1,0,0.0416666666666667,"FALSE",0.04
"SOWAHA",1,0,0,"FALSE",0
"L3MBTL3",1,0,0.0416666666666667,"FALSE",0.111111111111111
"MFAP3L",1,0,0,"FALSE",0.0384615384615385
"NAGA",1,0,0,"FALSE",0
"SMG5",1,0,0,"FALSE",0
"KIF1BP",1,0,0,"FALSE",0
"TGM2",1,0,0,"FALSE",0
"ARMCX6",1,0,0,"FALSE",0
"PJA2",1,0,0,"FALSE",0
"RORB",1,0,0.0434782608695652,"FALSE",0.08
"SGMS1",1,0,0,"FALSE",0.04
"OR10R2",1,0,0,"FALSE",0
"OR10Z1",1,0,0,"FALSE",0
"MIRLET7E",1,0,0,"FALSE",0
"MIR375",1,0,0,"FALSE",0
"MIR30E",1,0,0,"FALSE",0
"MIRLET7A2",1,0,0,"FALSE",0
"MIR429",1,0,0,"FALSE",0
"MIR380",1,0,0,"FALSE",0
"MIR449A",1,0,0,"FALSE",0
"MIR345",1,0,0,"FALSE",0
"MIR16.2",1,0,0,"FALSE",0
"MIR340",1,0,0,"FALSE",0
"MIR107",1,0,0,"FALSE",0
"MIR448",1,0,0,"FALSE",0
"MIR370",1,0,0,"FALSE",0
"MIR412",1,0,0,"FALSE",0
"MIR377",1,0,0,"FALSE",0
"MIR1.1",1,0,0,"FALSE",0
"MIR381",1,0,0,"FALSE",0
"MIR339",1,0,0,"FALSE",0
"MIR103A2",1,0,0,"FALSE",0
"MIR369",1,0,0,"FALSE",0
"MIRLET7C",1,0,0,"FALSE",0
"MIR371A",1,0,0,"FALSE",0
"MIR425",1,0,0,"FALSE",0
"MIR103A1",1,0,0,"FALSE",0
"MIR219A1",1,0,0,"FALSE",0
"MIR210",1,0,0,"FALSE",0
"MIR335",1,0,0,"FALSE",0
"MIR378A",1,0,0,"FALSE",0
"MIR361",1,0,0,"FALSE",0
"MIR324",1,0,0,"FALSE",0
"MIR135B",1,0,0,"FALSE",0
"MIR101.2",1,0,0,"FALSE",0
"MIR323A",1,0,0,"FALSE",0
"MIRLET7F1",1,0,0,"FALSE",0
"MIR26A1",1,0,0,"FALSE",0
"MIR129.2",1,0,0,"FALSE",0
"MIR133B",1,0,0,"FALSE",0
"MIR342",1,0,0,"FALSE",0
"MIR148A",1,0,0,"FALSE",0
"MIR379",1,0,0,"FALSE",0
"MIR326",1,0,0,"FALSE",0
"MIR410",1,0,0,"FALSE",0
"MIR30C2",1,0,0,"FALSE",0
"MIR372",1,0,0,"FALSE",0
"MIR302C",1,0,0,"FALSE",0
"MIR346",1,0,0,"FALSE",0
"MIR409",1,0,0,"FALSE",0
"MIR411",1,0,0,"FALSE",0
"MIR26B",1,0,0,"FALSE",0
"MIR148B",1,0,0,"FALSE",0
"MIR383",1,0,0,"FALSE",0
"MIR365A",1,0,0,"FALSE",0
"MIR450A1",1,0,0,"FALSE",0
"MIRLET7D",1,0,0,"FALSE",0
"MIR101.1",1,0,0,"FALSE",0
"MIR373",1,0,0,"FALSE",0
"MIR302D",1,0,0,"FALSE",0
"MIRLET7G",1,0,0,"FALSE",0
"MIR337",1,0,0,"FALSE",0
"MIR30D",1,0,0,"FALSE",0
"MIR422A",1,0,0,"FALSE",0
"MIR208A",1,0,0,"FALSE",0
"MIR96",1,0,0,"FALSE",0
"MIR126",1,0,0,"FALSE",0
"MIRLET7A1",1,0,0,"FALSE",0
"MIR374A",1,0,0,"FALSE",0
"MIR367",1,0,0,"FALSE",0
"MIR331",1,0,0,"FALSE",0
"MIR31",1,0,0,"FALSE",0
"MIRLET7I",1,0,0,"FALSE",0
"RF00402",1,0,0,"FALSE",0
"RN7SKP72",1,0,0,"FALSE",0
"RF00019.1",1,0,0,"FALSE",0
"RF00019.2",1,0,0,"FALSE",0
"RNA5SP289",1,0,0,"FALSE",0
"RF00019.3",1,0,0,"FALSE",0
"RF00019.4",1,0,0,"FALSE",0
"RNU105C",1,0,0,"FALSE",0
"RNU6.1123P",1,0,0,"FALSE",0
"RN7SKP184",1,0,0,"FALSE",0
"RNU6.500P",1,0,0,"FALSE",0
"RF00019.5",1,0,0,"FALSE",0
"RF00019.6",1,0,0,"FALSE",0
"RF00019.7",1,0,0,"FALSE",0
"RF00019.8",1,0,0,"FALSE",0
"RNU6.50P",1,0,0,"FALSE",0
"RF00494",1,0,0,"FALSE",0
"RNU6.834P",1,0,0,"FALSE",0
"RNA5SP46",1,0,0,"FALSE",0
"RF00019.9",1,0,0,"FALSE",0
"RF00019.10",1,0,0,"FALSE",0
"RNU6.896P",1,0,0,"FALSE",0
"RNU6.28P",1,0,0,"FALSE",0
"RNU6.664P",1,0,0,"FALSE",0
"RNU6.874P",1,0,0,"FALSE",0
"RF00019.11",1,0,0,"FALSE",0
"SNORA60",1,0,0,"FALSE",0
"RNA5S12",1,0,0,"FALSE",0
"RNU6.349P",1,0,0,"FALSE",0
"RF00019.12",1,0,0,"FALSE",0
"RNA5SP26",1,0,0,"FALSE",0
"RNU6.661P",1,0,0,"FALSE",0
"RF00411",1,0,0,"FALSE",0
"RNU1.58P",1,0,0,"FALSE",0
"RF00019.13",1,0,0,"FALSE",0
"RNU6.1094P",1,0,0,"FALSE",0
"RNU6.502P",1,0,0,"FALSE",0
"RF00019.14",1,0,0,"FALSE",0
"RF00019.15",1,0,0,"FALSE",0
"SNORA21",1,0,0,"FALSE",0
"RNU6.1312P",1,0,0,"FALSE",0
"RNA5SP430",1,0,0,"FALSE",0
"RNU6.208P",1,0,0,"FALSE",0
"RF00019.16",1,0,0,"FALSE",0
"RNU6.858P",1,0,0,"FALSE",0
"RNU6.222P",1,0,0,"FALSE",0
"SNORD115.34",1,0,0,"FALSE",0
"RNU4.82P",1,0,0,"FALSE",0
"RNA5SP347",1,0,0,"FALSE",0
"RNA5SP52",1,0,0,"FALSE",0
"RN7SKP25",1,0,0,"FALSE",0
"RF00271",1,0,0,"FALSE",0
"RNA5SP183",1,0,0,"FALSE",0
"RNU4.39P",1,0,0,"FALSE",0
"RNU6.1298P",1,0,0,"FALSE",0
"RNU6.230P",1,0,0,"FALSE",0
"RF00019.17",1,0,0,"FALSE",0
"RF00019.18",1,0,0,"FALSE",0
"RNA5S11",1,0,0,"FALSE",0
"RNU6.204P",1,0,0,"FALSE",0
"RNA5S3",1,0,0,"FALSE",0
"RNU5E.1",1,0,0,"FALSE",0
"RNU6.766P",1,0,0,"FALSE",0
"RF00019.19",1,0,0,"FALSE",0
"RNA5SP432",1,0,0,"FALSE",0
"RNA5S1",1,0,0,"FALSE",0
"RNA5SP273",1,0,0,"FALSE",0
"RF00019.20",1,0,0,"FALSE",0
"RNU6.1115P",1,0,0,"FALSE",0
"RNU1.150P",1,0,0,"FALSE",0
"RF00019.21",1,0,0,"FALSE",0
"RF00092",1,0,0,"FALSE",0
"RNA5SP327",1,0,0,"FALSE",0
"RF00019.22",1,0,0,"FALSE",0
"RNU6.1084P",1,0,0,"FALSE",0
"RF00012",1,0,0,"FALSE",0
"RNA5SP453",1,0,0,"FALSE",0
"RNU5F.1",1,0,0,"FALSE",0
"RF00019.23",1,0,0,"FALSE",0
"RNU6.79P",1,0,0,"FALSE",0
"RNU6.369P",1,0,0,"FALSE",0
"SNORD114.7",1,0,0,"FALSE",0
"RF00402.1",1,0,0,"FALSE",0
"RNU6.600P",1,0,0,"FALSE",0
"RNA5SP93",1,0,0,"FALSE",0
"RNA5S5",1,0,0,"FALSE",0
"RF00019.24",1,0,0,"FALSE",0
"RNY4P19",1,0,0,"FALSE",0
"RNA5SP308",1,0,0,"FALSE",0
"RNA5SP250",1,0,0,"FALSE",0
"SNORA1B",1,0,0,"FALSE",0
"RNA5SP301",1,0,0,"FALSE",0
"RF00019.25",1,0,0,"FALSE",0
"RF00019.26",1,0,0,"FALSE",0
"RF00153",1,0,0,"FALSE",0
"RNA5SP370",1,0,0,"FALSE",0
"RN7SKP170",1,0,0,"FALSE",0
"VTRNA3.1P",1,0,0,"FALSE",0
"RF00019.27",1,0,0,"FALSE",0
"RNU1.108P",1,0,0,"FALSE",0
"SNORD9",1,0,0,"FALSE",0
"RF00019.28",1,0,0,"FALSE",0
"RF00019.29",1,0,0,"FALSE",0
"RF00019.30",1,0,0,"FALSE",0
"RNU6.543P",1,0,0,"FALSE",0
"RNU6.845P",1,0,0,"FALSE",0
"RNA5SP276",1,0,0,"FALSE",0
"SNORD115.12",1,0,0,"FALSE",0
"RNA5SP388",1,0,0,"FALSE",0
"RNA5SP191",1,0,0,"FALSE",0
"RNU4.35P",1,0,0,"FALSE",0
"RF00019.31",1,0,0,"FALSE",0
"RNU6.1216P",1,0,0,"FALSE",0
"RF00019.32",1,0,0,"FALSE",0
"RF00019.33",1,0,0,"FALSE",0
"RNU6.556P",1,0,0,"FALSE",0
"RNU1.62P",1,0,0,"FALSE",0
"RF00264",1,0,0,"FALSE",0
"RF00019.34",1,0,0,"FALSE",0
"RF00019.35",1,0,0,"FALSE",0
"RF00092.1",1,0,0,"FALSE",0
"RF00443",1,0,0,"FALSE",0
"RN7SKP104",1,0,0,"FALSE",0
